,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
149,145,Mike Clevinger,28,CLE,99.1,17,17,30,2.72,4.76,0.27,0.22,104.2,4.91,24,2.5,,-0.1,3.4,35,.646,.515,"$592,200",Traded
150,146,Tyler Clippard,34,CLE,56.2,48,2,16,2.54,4.86,0.30,-0.29,103.6,4.42,11,1.1,.85,-0.2,1.5,18,.524,.507,"$100,000",Free Agency
151,147,Alex Cobb,31,BAL,12.1,3,3,16,11.68,6.18,-0.55,0.29,101.3,7.10,-6,-0.5,,0.0,-0.4,-5,.327,.497,"$14,000,000",Free Agency
152,148,A.J. Cole,27,CLE,26.0,25,0,16,5.54,4.91,0.38,-0.32,105.7,4.45,-3,-0.3,.80,0.0,-0.1,0,.487,.498,,Waivers
153,149,Gerrit Cole,28,HOU,184.1,29,29,62,3.03,4.86,0.24,0.23,99.4,4.81,35,3.7,,-0.1,5.4,57,.628,.523,"$13,500,000",Traded
154,150,Taylor Cole,29,LAA,45.1,32,6,34,6.75,5.11,-0.07,-0.32,100.3,4.87,-10,-0.9,1.08,-0.1,-0.6,-5,.471,.494,"$557,500",Free Agency
155,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
156,151,Tim Collins*,29,CHC,8.2,9,0,3,3.12,5.00,0.07,-0.34,94.7,4.35,1,0.1,.86,0.0,0.2,2,.514,.501,"$850,000",Free Agency
157,152,Alex Colome,30,CHW,54.0,54,0,21,3.50,4.84,-0.42,-0.32,100.3,4.95,8,0.8,1.47,0.1,1.4,15,.515,.505,"$7,325,000",Traded
158,153,Adam Conley*,29,MIA,55.2,55,0,42,6.79,4.93,-0.01,-0.34,96.4,4.44,-14,-1.4,1.13,-0.2,-1.1,-9,.475,.491,"$1,125,000",Amateur Draft
159,154,Sam Coonrod,26,SFG,21.2,25,0,6,2.49,4.77,0.24,-0.33,97.7,4.11,4,0.4,.64,-0.1,0.5,6,.517,.503,,Amateur Draft
160,155,Patrick Corbin*,29,WSN,179.2,29,29,69,3.46,4.71,-0.09,0.21,104.4,5.24,37,4.0,,-0.1,5.5,52,.639,.525,"$12,916,666",Free Agency
161,156,Jimmy Cordero,27,2TM,25.1,20,0,12,4.26,5.14,-0.38,-0.34,100.5,5.21,2,0.2,.75,-0.1,0.4,5,.512,.502,,Waivers
162,157,Nestor Cortes Jr.*,24,NYY,59.2,28,0,34,5.13,4.95,0.05,-0.20,96.0,4.51,-5,-0.4,.84,-0.1,0.1,2,.485,.497,,Rule 5 returned
163,158,Dylan Covey,27,CHW,55.0,17,11,49,8.02,4.89,-0.54,0.13,99.9,5.55,-15,-1.4,1.32,-0.1,-0.9,-9,.418,.491,"$571,000",Rule 5 Draft
164,159,Stefan Crichton,27,ARI,22.1,19,0,11,4.43,4.91,0.35,-0.34,102.9,4.34,0,0.0,.48,0.0,0.2,2,.500,.500,,Traded
165,160,Kyle Crick,26,PIT,49.0,52,0,30,5.51,4.77,-0.34,-0.33,97.4,4.66,-4,-0.4,1.32,-0.2,-0.1,0,.492,.497,"$581,500",Traded
166,161,Charlie Culberson,30,ATL,2.0,2,0,0,0.00,4.73,0.21,-0.32,108.0,4.53,1,0.1,.00,-0.1,0.1,1,.553,.501,"$1,395,000",Traded
167,162,John Curtiss,26,LAA,2.1,1,0,1,3.86,3.95,-0.08,-0.26,122.0,4.61,0,0.0,.04,0.0,0.0,0,.518,.500,,Traded
168,163,Yu Darvish,32,CHC,157.1,28,28,75,4.29,4.70,0.05,0.21,100.1,4.87,11,1.2,,-0.1,2.5,25,.542,.507,"$20,000,000",Free Agency
169,164,Zach Davies,26,MIL,141.1,27,27,67,4.27,4.90,0.23,0.22,99.1,4.85,10,1.1,,-0.1,2.2,22,.539,.507,"$2,600,000",Traded
170,165,Austin Davis*,26,PHI,15.0,10,0,12,7.20,4.84,0.11,-0.33,109.3,4.81,-4,-0.4,.23,0.1,-0.1,-3,.463,.498,,Amateur Draft
171,166,Chris Davis,33,BAL,1.0,1,0,1,9.00,6.06,-0.53,-0.40,104.0,6.44,0,0.0,.00,0.0,0.0,0,.473,.500,"$23,000,000",Free Agency
172,167,Rookie Davis,26,PIT,10.2,5,1,8,6.75,5.15,-0.42,-0.19,99.1,5.33,-2,-0.2,.31,0.0,0.0,-1,.469,.499,,Free Agency
173,168,Taylor Davis,29,CHC,1.0,1,0,0,0.00,5.69,0.11,-0.39,100.0,5.19,1,0.1,.00,0.0,0.0,1,.561,.500,,Free Agency
174,169,Wade Davis,33,COL,42.1,48,0,34,7.23,5.01,-0.06,-0.34,121.2,5.73,-7,-0.7,1.31,-0.2,-0.5,-3,.486,.496,"$18,000,000",Free Agency
175,170,Grant Dayton*,31,ATL,8.1,10,0,3,3.24,5.18,0.17,-0.36,102.3,4.76,1,0.1,.42,-0.1,0.2,2,.515,.501,"$585,000",Waivers
176,171,Chase De Jong,25,MIN,1.0,1,0,4,36.00,5.49,-0.05,-0.36,84.0,4.36,-4,-0.3,.00,0.1,-0.1,-3,.245,.498,,Traded
177,172,Jose De Leon,26,TBR,3.0,2,0,2,6.00,4.95,0.22,-0.33,93.5,4.12,-1,-0.1,.39,0.0,0.0,0,.470,.500,"$558,000",Traded
178,173,Enyel De Los Santos,23,PHI,11.0,5,1,9,7.36,4.51,0.11,-0.12,103.0,4.41,-4,-0.3,.17,0.1,-0.2,-3,.433,.498,,Traded
179,174,Jacob deGrom,31,NYM,183.0,29,29,59,2.90,4.64,-0.39,0.20,91.5,4.79,40,4.4,,-0.1,5.9,56,.650,.527,"$9,000,000",Amateur Draft
180,175,Miguel Del Pozo*,26,LAA,7.1,10,0,4,4.91,5.04,-0.05,-0.33,100.5,4.78,0,0.0,1.25,0.0,0.0,1,.499,.500,,Purchased
181,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
182,176,Daniel Descalso,32,CHC,1.0,1,0,2,18.00,4.85,0.10,-0.33,96.0,4.24,-2,-0.1,.01,0.1,-0.1,-1,.366,.499,"$1,500,000",Free Agency
183,177,Anthony DeSclafani,29,CIN,148.2,28,28,70,4.24,4.81,0.18,0.21,100.6,4.87,12,1.2,,-0.1,2.4,24,.543,.507,"$2,125,000",Traded
184,178,Ian Desmond,33,COL,1.0,1,0,0,0.00,6.41,-0.08,-0.44,86.0,5.20,1,0.1,.00,0.0,0.0,1,.561,.500,"$15,000,000",Free Agency
185,179,Odrisamer Despaigne,32,CHW,13.1,3,3,14,9.45,5.23,-0.61,0.24,103.6,6.30,-5,-0.4,,0.0,-0.3,-3,.365,.497,,Free Agency
186,180,Ross Detwiler*,33,CHW,54.1,15,9,44,7.29,5.09,-0.52,0.10,99.1,5.66,-10,-0.9,.35,0.0,-0.4,-4,.438,.494,"$100,000",Free Agency
187,181,Chris Devenski,28,HOU,61.0,55,1,37,5.46,5.00,0.33,-0.31,98.0,4.27,-8,-0.8,.63,0.0,-0.2,-1,.485,.495,"$1,525,000",Traded
188,182,Edwin Diaz,25,NYM,53.0,60,0,34,5.77,4.77,-0.35,-0.33,90.5,4.34,-8,-0.8,1.57,-0.3,-0.6,-3,.487,.495,"$607,425",Traded
189,183,Jairo Diaz,28,COL,46.1,47,0,27,5.24,4.83,-0.06,-0.33,120.1,5.47,2,0.2,1.10,-0.1,0.5,6,.503,.501,,Free Agency
190,184,Miguel Diaz,24,SDP,6.1,5,0,5,7.11,4.64,0.26,-0.32,105.9,4.30,-2,-0.2,.72,0.0,-0.1,-1,.463,.499,"$560,400",Traded
191,185,Yennsy Diaz,22,TOR,0.2,1,0,2,27.00,4.33,-0.19,-0.28,104.0,4.41,-2,-0.1,.60,0.0,-0.1,-2,.358,.499,,Amateur Free Agent
192,186,Phillip Diehl*,24,COL,2.0,2,0,4,18.00,4.64,-0.07,-0.32,138.0,6.06,-3,-0.2,.01,0.1,-0.1,-2,.382,.499,,Traded
193,187,Jake Diekman*,32,2TM,56.0,68,0,33,5.30,4.99,0.08,-0.33,101.3,4.64,-4,-0.4,1.37,-0.2,-0.1,2,.494,.499,"$2,250,000",Free Agency
194,188,Brandon Dixon,27,DET,2.0,2,0,2,9.00,5.19,-0.41,-0.34,108.0,5.67,-1,-0.1,.00,0.0,0.0,-1,.465,.500,,Waivers
195,189,Randy Dobnak,24,MIN,11.0,5,2,4,3.27,4.45,-0.03,-0.25,98.9,4.18,1,0.1,.14,-0.1,0.2,2,.521,.501,,Free Agency
196,190,Seranthony Dominguez,24,PHI,24.2,27,0,13,4.74,4.60,0.11,-0.32,102.7,4.29,-1,-0.1,1.33,-0.1,0.1,1,.496,.499,"$564,000",Amateur Free Agent
197,191,Sean Doolittle*,32,WSN,55.0,57,0,25,4.09,4.72,-0.11,-0.32,104.9,4.72,4,0.4,1.64,0.0,1.0,9,.508,.503,"$6,000,000",Traded
198,192,Kyle Dowdy,26,TEX,22.1,13,1,20,8.06,5.18,-0.32,-0.26,108.5,5.68,-6,-0.6,.99,0.0,-0.4,-3,.456,.497,"$555,000",Waivers
199,193,Brian Dozier,32,WSN,1.0,1,0,2,18.00,4.67,-0.18,-0.32,102.0,4.62,-1,-0.1,.00,0.1,-0.1,-1,.369,.499,"$9,000,000",Free Agency
200,194,Oliver Drake,32,TBR,44.0,40,0,19,3.89,5.09,0.20,-0.34,96.6,4.40,2,0.2,1.20,-0.1,0.6,7,.506,.501,"$566,100",Purchased
201,195,Tyler Duffey,28,MIN,49.1,50,0,21,3.83,4.71,-0.02,-0.31,98.3,4.35,3,0.2,1.08,-0.1,0.6,8,.505,.502,,Amateur Draft
202,196,Danny Duffy*,30,KCR,112.2,20,20,65,5.19,4.84,0.09,0.22,103.2,5.14,-1,-0.1,,-0.1,0.9,12,.493,.499,"$15,250,000",Amateur Draft
203,197,Robert Dugger,23,MIA,21.0,4,4,13,5.57,4.77,-0.01,0.21,91.1,4.55,-2,-0.2,,0.0,0.0,0,.447,.499,,Traded
204,198,Zach Duke*,36,CIN,23.1,30,0,13,5.01,5.04,0.19,-0.35,100.0,4.51,-1,-0.1,.93,0.0,0.1,1,.496,.499,"$2,000,000",Free Agency
205,199,Ryan Dull,29,2TM,10.0,8,0,16,14.40,4.53,0.16,-0.30,100.8,4.09,-12,-1.0,.57,0.1,-0.7,-10,.376,.496,"$860,000",Waivers
206,200,Mike Dunn*,34,COL,17.2,28,0,14,7.13,4.86,-0.06,-0.33,119.2,5.48,-3,-0.3,1.14,-0.1,-0.2,-2,.489,.498,"$7,000,000",Free Agency
207,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
208,201,Jon Duplantier,24,ARI,27.2,10,3,16,5.20,5.11,0.36,-0.08,101.6,4.74,-1,-0.1,.96,0.0,0.1,1,.488,.499,,Amateur Draft
209,202,Montana DuRapau,27,PIT,17.1,14,2,24,12.46,4.61,-0.45,-0.26,100.6,4.83,-15,-1.3,.28,0.4,-0.8,-13,.405,.492,,Amateur Draft
210,203,Sam Dyson,31,2TM,62.1,61,0,26,3.75,4.76,0.20,-0.32,97.7,4.13,3,0.3,1.35,0.0,0.9,9,.505,.503,"$5,000,000",Traded
211,204,Ryan Eades,27,2TM,7.0,4,0,0,0.00,4.32,-0.20,-0.29,103.9,4.40,3,0.3,.17,-0.2,0.3,4,.587,.501,,Waivers
212,205,Carl Edwards Jr.,27,2TM,17.0,22,0,17,9.00,4.73,0.08,-0.32,101.1,4.39,-9,-0.7,1.19,0.1,-0.5,-7,.466,.498,"$1,500,000",Traded
213,206,Jon Edwards,31,CLE,8.0,9,0,2,2.25,4.82,0.35,-0.32,105.7,4.39,2,0.2,.62,-0.1,0.2,3,.520,.501,"$555,900",Free Agency
214,207,Zach Eflin,25,PHI,140.0,28,24,76,4.89,4.79,0.12,0.19,102.9,5.00,3,0.3,.69,-0.1,1.4,15,.511,.502,"$590,000",Traded
215,208,Jerad Eickhoff,28,PHI,58.1,12,10,37,5.71,4.65,0.11,0.16,105.3,4.94,-5,-0.4,.06,0.0,0.1,0,.464,.497,"$975,000",Traded
216,209,Roenis Elias*,30,2TM,50.0,48,0,32,5.76,4.88,-0.50,-0.32,95.1,4.80,-6,-0.5,1.65,-0.3,-0.3,0,.489,.498,"$910,000",Traded
217,210,Chris Ellis,26,KCR,1.0,1,0,0,0.00,4.50,0.11,-0.30,106.0,4.34,0,0.0,.16,0.0,0.0,1,.548,.500,"$555,000",Purchased
218,211,Nathan Eovaldi,29,BOS,48.1,19,8,32,5.96,5.36,-0.13,0.08,100.0,5.57,-2,-0.2,1.08,-0.1,0.2,3,.488,.499,"$17,000,000",Traded
219,212,Robbie Erlin*,28,SDP,50.2,34,1,34,6.04,4.88,0.25,-0.31,96.5,4.17,-10,-1.0,.71,0.0,-0.5,-6,.471,.494,"$1,450,000",Traded
220,213,Luis Escobar,23,PIT,5.2,4,0,5,7.94,5.00,-0.53,-0.34,96.4,5.00,-2,-0.2,.08,0.1,-0.1,-1,.457,.499,,Amateur Free Agent
221,214,Tom Eshelman,25,BAL,36.0,10,4,31,7.75,5.12,-0.49,0.10,100.0,5.71,-8,-0.8,.16,0.0,-0.4,-4,.424,.495,,Traded
222,215,Carlos Estevez,26,COL,65.1,64,0,33,4.55,4.92,-0.06,-0.34,118.6,5.50,8,0.8,.93,-0.2,1.2,13,.512,.505,,Amateur Free Agent
223,216,Marco Estrada,35,OAK,23.2,5,5,19,7.23,5.12,0.15,0.24,91.3,4.76,-7,-0.6,,0.0,-0.4,-4,.384,.496,"$4,000,000",Free Agency
224,217,Peter Fairbanks,25,2TM,13.0,12,0,11,7.62,4.85,-0.07,-0.32,106.9,4.96,-4,-0.4,.67,0.0,-0.2,-2,.470,.498,,Traded
225,218,Jeurys Familia,29,NYM,51.0,57,0,36,6.35,4.79,-0.42,-0.33,91.7,4.48,-10,-1.0,1.01,-0.1,-0.7,-6,.482,.494,"$6,666,666",Free Agency
226,219,Jake Faria,25,2TM,15.1,12,0,7,4.11,5.07,0.24,-0.34,96.5,4.33,0,0.0,.68,-0.1,0.1,2,.503,.500,,Traded
227,220,Buck Farmer,28,DET,58.0,64,1,32,4.97,5.09,-0.36,-0.32,103.9,5.33,2,0.2,1.34,-0.1,0.7,9,.503,.501,"$570,800",Amateur Draft
228,221,Kyle Farmer,28,CIN,1.1,1,0,0,0.00,4.63,0.24,-0.32,104.0,4.24,1,0.1,.03,0.0,0.0,1,.567,.500,"$557,500",Traded
229,222,Luke Farrell,28,TEX,6.0,4,0,2,3.00,5.20,-0.21,-0.34,109.1,5.53,2,0.2,.33,-0.1,0.2,2,.541,.501,"$558,000",Waivers
230,223,Erick Fedde,26,WSN,73.0,18,12,34,4.19,4.63,-0.12,0.11,104.4,5.08,8,0.8,.47,-0.1,1.4,14,.545,.505,,Amateur Draft
231,224,Tim Federowicz,31,TEX,1.0,1,0,1,9.00,4.88,-0.59,-0.32,122.0,6.28,0,0.0,.00,0.0,0.0,0,.471,.500,,Traded
232,225,Ryan Feierabend*,33,TOR,5.2,2,1,7,11.12,4.65,-0.17,0.06,97.4,4.76,-4,-0.3,.18,0.0,-0.2,-3,.333,.498,,Free Agency
233,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
234,226,Michael Feliz,26,PIT,50.2,52,1,22,3.91,4.73,-0.33,-0.32,98.5,4.66,5,0.5,.87,-0.1,0.8,9,.509,.503,"$850,000",Traded
235,227,Caleb Ferguson*,22,LAD,39.0,39,1,22,5.08,4.71,0.49,-0.29,95.5,3.75,-5,-0.5,.60,0.0,-0.2,-2,.486,.497,"$560,000",Amateur Draft
236,228,Jose Fernandez*,26,DET,3.2,4,0,8,19.64,4.97,-0.54,-0.33,108.7,5.63,-6,-0.5,.62,0.1,-0.4,-5,.376,.497,,Waivers
237,229,Junior Fernandez,22,STL,7.1,7,0,2,2.45,4.52,0.20,-0.31,96.2,3.86,1,0.1,.37,-0.1,0.1,2,.517,.501,,Amateur Free Agent
238,230,Matt Festa,26,SEA,22.1,20,0,15,6.04,5.33,-0.51,-0.35,92.2,5.05,-3,-0.3,.85,0.0,-0.1,0,.488,.498,"$555,500",Amateur Draft
239,231,Mike Fiers,34,OAK,170.0,30,30,77,4.08,5.01,0.13,0.23,93.6,4.79,12,1.2,,-0.1,2.8,32,.541,.508,"$6,000,000",Traded
240,232,Heath Fillmyer,25,KCR,17.0,6,3,15,7.94,5.14,0.11,0.07,99.4,5.07,-6,-0.5,.54,0.0,-0.3,-4,.417,.497,,Traded
241,233,Jack Flaherty,23,STL,168.1,29,29,58,3.10,4.78,0.23,0.21,95.8,4.56,29,3.1,,-0.1,4.4,43,.606,.519,"$562,100",Amateur Draft
242,234,Chris Flexen,24,NYM,13.2,9,1,12,7.90,4.89,-0.54,-0.16,96.3,5.08,-4,-0.4,1.23,-0.1,-0.3,-3,.455,.498,,Amateur Draft
243,235,Dylan Floro,28,LAD,41.0,42,0,21,4.61,4.59,0.57,-0.31,95.5,3.54,-5,-0.4,1.30,-0.2,-0.2,-1,.489,.497,"$565,000",Traded
244,236,Brian Flynn*,29,KCR,29.1,11,1,18,5.52,4.66,0.09,-0.27,104.3,4.48,-4,-0.3,1.18,-0.1,-0.1,0,.469,.498,"$800,000",Traded
245,237,Mike Foltynewicz,27,ATL,99.0,18,18,61,5.55,4.90,0.19,0.22,101.1,4.99,-5,-0.5,,-0.1,0.3,3,.471,.497,"$5,475,000",Traded
246,238,Wilmer Font,29,3TM,72.0,40,13,35,4.38,4.84,-0.20,-0.15,94.5,4.61,2,0.2,.71,-0.1,0.8,9,.505,.501,"$560,400",Traded
247,239,Mike Ford,26,NYY,2.0,1,0,5,22.50,4.49,0.09,-0.30,92.0,3.78,-4,-0.3,.00,0.1,-0.1,-4,.215,.498,,Rule 5 returned
248,240,Ty France,24,SDP,2.0,2,0,1,4.50,5.31,0.30,-0.36,92.0,4.27,0,0.0,.00,0.0,0.0,0,.498,.500,,Amateur Draft
249,241,Caleb Frare*,25,CHW,2.2,5,0,3,10.13,5.73,-0.41,-0.38,99.7,5.74,-1,-0.1,.76,0.0,-0.1,-1,.475,.499,"$555,000",Traded
250,242,Kyle Freeland*,26,COL,99.1,20,20,84,7.61,4.75,-0.07,0.21,117.9,5.93,-18,-1.7,,-0.1,-0.8,-9,.417,.490,"$565,000",Amateur Draft
251,243,Mike Freeman,31,CLE,2.0,1,0,2,9.00,4.34,0.48,-0.29,104.0,3.71,-1,-0.1,.00,0.0,0.0,-1,.395,.499,,Free Agency
252,244,Sam Freeman*,32,LAA,2.0,1,0,1,4.50,6.32,-0.11,-0.42,98.0,5.90,0,0.0,.28,0.0,0.0,1,.529,.500,"$100,000",Free Agency
253,245,Max Fried*,25,ATL,149.1,29,27,70,4.22,4.78,0.18,0.20,104.0,4.99,14,1.5,1.23,-0.1,2.7,27,.550,.509,"$565,000",Traded
254,246,Jace Fry*,25,CHW,48.2,59,0,32,5.92,5.02,-0.39,-0.33,100.5,5.10,-5,-0.5,1.03,-0.1,-0.1,1,.492,.497,"$569,000",Amateur Draft
255,247,Paul Fry*,26,BAL,51.2,58,0,34,5.92,5.17,-0.39,-0.34,103.2,5.39,-3,-0.3,1.40,-0.2,0.0,3,.494,.498,"$559,000",Traded
256,248,Carson Fulmer,25,CHW,21.2,16,1,16,6.65,4.54,-0.47,-0.25,101.7,4.84,-4,-0.4,.80,0.0,-0.2,-2,.473,.497,,Amateur Draft
257,249,Drew Gagnon,29,NYM,22.2,17,0,23,9.13,4.78,-0.60,-0.20,98.1,5.08,-10,-1.0,1.16,-0.1,-0.9,-8,.444,.494,,Free Agency
258,250,Giovanny Gallegos,27,STL,63.1,55,0,16,2.27,4.76,0.20,-0.33,95.9,4.06,13,1.3,1.07,-0.1,1.8,19,.524,.508,,Traded
259,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
260,251,Zac Gallen,23,2TM,68.1,13,13,20,2.63,5.02,0.14,0.22,100.1,5.06,19,2.1,,0.0,2.7,25,.661,.506,,Traded
261,252,John Gant,26,STL,62.2,57,0,24,3.45,4.81,0.25,-0.33,95.5,4.05,5,0.5,1.40,0.0,1.0,10,.508,.503,"$571,300",Traded
262,253,Bryan Garcia,24,DET,2.0,2,0,1,4.50,5.21,-0.45,-0.34,106.8,5.68,0,0.0,.94,0.0,0.0,0,.512,.500,,Amateur Draft
263,254,Edgar Garcia,22,PHI,32.0,31,0,23,6.47,5.01,0.11,-0.34,100.5,4.58,-6,-0.6,.49,0.1,-0.3,-4,.480,.496,,Amateur Free Agent
264,255,Jarlin Garcia*,26,MIA,43.1,44,0,14,2.91,5.00,-0.01,-0.34,97.6,4.55,8,0.8,.90,-0.1,1.1,12,.519,.505,,Amateur Free Agent
265,256,Luis Garcia,32,LAA,56.1,58,2,31,4.95,4.95,-0.07,-0.33,98.7,4.64,-2,-0.2,.73,-0.1,0.2,4,.496,.499,"$1,675,000",Traded
266,257,Rico Garcia,25,COL,5.0,1,1,6,10.80,4.80,-0.08,0.21,138.0,7.02,-2,-0.2,,0.0,-0.1,-2,.327,.499,,Amateur Draft
267,258,Yimi Garcia,28,LAD,59.1,59,0,26,3.94,4.64,0.47,-0.32,95.4,3.67,-1,-0.1,.74,-0.1,0.3,4,.498,.499,"$710,000",Amateur Free Agent
268,259,Amir Garrett*,27,CIN,52.2,62,0,18,3.08,4.94,0.14,-0.34,100.6,4.49,9,0.9,1.59,0.1,1.5,13,.514,.505,"$567,500",Amateur Draft
269,260,Reed Garrett,26,DET,15.1,13,0,15,8.80,5.13,-0.46,-0.34,105.6,5.54,-6,-0.5,.31,0.1,-0.2,-4,.459,.497,"$555,000",Rule 5 Draft
270,261,Ryan Garton,29,SEA,3.0,2,0,4,12.00,5.36,-0.70,-0.35,100.1,5.71,-2,-0.2,.07,0.1,-0.1,-2,.405,.499,,Traded
271,262,Kevin Gausman,28,2TM,94.0,26,16,66,6.32,4.72,0.18,0.12,102.6,4.77,-15,-1.4,.86,-0.1,-0.7,-7,.446,.495,"$9,350,000",Traded
272,263,Sam Gaviglio,29,TOR,88.2,45,0,46,4.67,5.04,-0.12,-0.33,98.8,4.77,0,0.0,.50,-0.2,0.7,11,.501,.500,"$579,500",Traded
273,264,Cory Gearrin,33,2TM,49.1,56,2,22,4.01,5.17,-0.40,-0.34,93.4,4.88,4,0.4,.91,-0.1,0.8,10,.508,.502,"$1,500,000",Waivers
274,265,Domingo German,26,NYY,136.2,25,24,69,4.54,4.92,0.05,0.22,95.3,4.85,4,0.4,1.34,-0.1,1.6,20,.515,.502,"$577,500",Free Agency
275,266,Ian Gibaut,25,2TM,10.1,6,0,3,2.61,5.40,-0.17,-0.36,115.0,6.03,4,0.4,.42,-0.1,0.4,5,.569,.503,,Amateur Draft
276,267,Kyle Gibson,31,MIN,149.1,28,27,87,5.24,4.77,-0.02,0.21,96.9,4.85,-7,-0.7,2.37,-0.1,0.6,10,.475,.496,"$8,125,000",Amateur Draft
277,268,Ken Giles,28,TOR,45.0,45,0,10,2.00,4.99,-0.08,-0.33,98.7,4.69,13,1.3,1.41,0.2,1.9,18,.529,.508,"$6,300,000",Traded
278,269,Sean Gilmartin*,29,BAL,2.1,1,1,5,19.29,5.57,-0.76,0.26,88.0,5.80,-4,-0.3,,0.0,-0.2,-3,.246,.498,,Free Agency
279,270,Kevin Ginkel,25,ARI,17.1,17,0,4,2.08,4.84,0.28,-0.33,104.8,4.43,5,0.5,1.27,0.0,0.7,6,.528,.503,,Amateur Draft
280,271,Lucas Giolito,24,CHW,170.2,28,28,64,3.38,5.09,-0.36,0.24,99.8,5.68,43,4.5,,-0.1,6.1,62,.662,.528,"$573,000",Traded
281,272,Mychal Givens,29,BAL,54.2,49,0,26,4.28,5.14,-0.30,-0.34,102.2,5.21,5,0.5,1.68,0.0,1.1,12,.511,.503,"$2,150,000",Amateur Draft
282,273,Tyler Glasnow,25,TBR,50.1,9,9,13,2.32,4.89,0.20,0.23,97.3,4.79,13,1.4,,0.0,1.9,19,.659,.509,"$566,700",Traded
283,274,Zack Godley,29,2TM,92.0,33,9,62,6.07,4.96,0.31,-0.08,99.4,4.54,-15,-1.4,.59,0.0,-0.6,-7,.457,.492,"$609,400",Traded
284,275,Jeanmar Gomez,31,TEX,15.1,16,0,15,8.80,5.43,-0.35,-0.36,107.8,5.84,-5,-0.5,.65,0.0,-0.3,-3,.470,.497,"$100,000",Free Agency
285,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
286,276,Tony Gonsolin,25,LAD,32.0,7,6,12,3.38,4.87,0.54,0.15,99.9,4.47,4,0.4,.42,0.0,0.7,7,.562,.503,,Amateur Draft
287,277,Marco Gonzales*,27,SEA,175.0,30,30,101,5.19,4.93,-0.58,0.23,94.6,5.43,3,0.3,,-0.1,1.9,24,.511,.502,"$900,000",Traded
288,278,Chi Chi Gonzalez,27,COL,42.0,10,9,34,7.29,5.07,-0.07,0.22,106.0,5.69,-7,-0.7,1.32,0.0,-0.3,-4,.433,.496,,Free Agency
289,279,Gio Gonzalez*,33,MIL,72.1,15,15,34,4.23,4.90,0.20,0.22,99.5,4.89,6,0.6,,0.0,1.2,12,.540,.504,"$2,000,000",Free Agency
290,280,Nick Goody,27,CLE,36.2,34,0,13,3.19,4.76,0.31,-0.31,104.5,4.32,4,0.4,1.03,-0.1,0.7,9,.513,.503,"$675,000",Traded
291,281,Alex Gordon,35,KCR,2.1,2,0,5,19.29,5.22,0.18,-0.34,106.0,4.98,-4,-0.3,.00,0.1,-0.1,-3,.344,.498,"$20,000,000",Free Agency
292,282,Trevor Gott,26,SFG,52.2,50,0,26,4.44,4.83,0.25,-0.33,95.0,4.04,-2,-0.2,1.16,-0.1,0.2,3,.496,.499,"$567,500",Purchased
293,283,Matt Grace*,30,WSN,46.2,51,1,34,6.56,4.71,-0.13,-0.32,106.8,4.82,-9,-0.8,.81,0.0,-0.4,-5,.483,.495,"$576,400",Amateur Draft
294,284,Brusdar Graterol,20,MIN,2.0,3,0,3,13.50,4.91,-0.03,-0.32,104.7,4.83,-2,-0.2,1.58,-0.1,-0.2,-2,.440,.499,,Amateur Free Agent
295,285,Jon Gray,27,COL,150.0,26,25,70,4.20,4.84,-0.06,0.21,117.1,5.98,31,3.3,4.47,-0.1,4.6,44,.629,.521,"$2,935,000",Amateur Draft
296,286,Sonny Gray,29,CIN,157.1,28,28,51,2.92,4.76,0.16,0.21,102.5,4.93,37,4.0,,-0.1,5.3,50,.642,.525,"$7,500,000",Traded
297,287,Chad Green,28,NYY,60.2,48,13,33,4.90,4.87,0.04,-0.23,95.2,4.38,-4,-0.4,1.14,-0.2,0.1,3,.492,.498,"$598,650",Traded
298,288,Shane Greene,30,2TM,56.1,58,0,20,3.20,4.88,-0.16,-0.33,103.7,4.90,11,1.0,1.67,0.3,1.9,17,.518,.504,"$4,000,000",Traded
